Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence
2024,15-19,Both,18.85,32.4,High,5,Yes,1,5,No,4,No,3,1
2024,10-14,Female,34.88,41.57,High,6,Yes,10,5,No,9,Yes,9,3
2023,10-14,Both,42.0,56.8,High,6,Yes,2,7,Yes,2,No,5,1
2024,40-49,Both,33.75,42.9,Middle,10,No,9,7,Yes,2,No,10,9
2023,15-19,Male,47.9,39.62,High,1,No,2,4,Yes,4,No,10,3
2022,70-79,Male,20.14,47.29,High,10,Yes,7,4,No,4,No,4,2
2021,30-39,Female,38.38,26.6,Low,4,No,7,1,Yes,2,No,4,10
2022,10-14,Female,7.87,54.67,Middle,5,Yes,9,2,No,4,No,4,2
2021,70-79,Both,11.61,63.65,Low,9,Yes,1,6,Yes,5,Yes,2,6
2020,60-69,Female,23.98,17.62,Low,2,No,3,6,Yes,5,Yes,9,9
2020,40-49,Male,42.85,66.66,High,5,No,5,3,No,9,No,2,10
2022,50-59,Both,48.72,11.41,High,2,No,8,3,Yes,10,No,10,4
2024,25-29,Male,37.71,19.46,Low,5,Yes,2,4,Yes,1,No,10,8
2022,60-69,Female,44.99,42.47,High,8,No,4,1,No,5,Yes,3,2
2020,15-19,Male,11.78,65.31,Low,9,No,1,10,No,2,Yes,9,1
2020,60-69,Male,41.94,62.21,Low,5,Yes,9,9,Yes,2,No,1,4
2023,30-39,Both,49.99,57.28,High,2,Yes,9,3,Yes,4,No,8,1
2024,15-19,Female,24.61,39.62,Middle,10,No,8,4,Yes,8,No,6,8
2021,30-39,Female,15.08,22.28,High,1,Yes,6,8,No,7,Yes,2,6
2021,15-19,Male,15.4,30.66,Low,3,Yes,7,5,No,5,Yes,9,7
2023,30-39,Both,15.17,45.36,Low,6,Yes,4,3,No,10,Yes,4,6
2022,70-79,Male,10.49,50.57,Middle,6,Yes,9,2,No,2,Yes,7,8
2021,25-29,Female,9.95,67.8,High,3,Yes,4,7,Yes,6,No,5,3
2020,60-69,Male,26.59,14.25,High,2,Yes,3,6,No,10,No,3,5
2022,15-19,Male,18.41,15.59,Middle,7,No,3,9,Yes,6,No,8,4
2023,15-19,Female,46.0,32.2,High,1,No,7,1,Yes,3,No,5,10
2020,10-14,Both,14.8,69.46,Middle,3,No,6,10,Yes,8,No,8,8
2022,60-69,Male,12.27,18.92,Middle,9,Yes,7,10,Yes,6,Yes,1,10
2023,80+,Male,6.51,10.85,Middle,6,Yes,5,10,Yes,9,Yes,5,6
2020,50-59,Both,13.23,11.52,Low,6,Yes,3,10,No,2,Yes,3,8
2020,15-19,Female,20.62,28.8,High,1,No,2,8,Yes,7,No,10,1
2021,20-24,Female,9.39,46.57,Middle,7,No,6,10,No,6,Yes,4,6
2022,80+,Male,6.33,37.3,High,2,Yes,9,10,Yes,1,No,6,5
2024,15-19,Female,8.06,45.28,Middle,8,Yes,3,5,No,2,No,5,1
2021,30-39,Male,15.13,38.45,Middle,1,Yes,1,8,Yes,3,No,10,1
2022,70-79,Male,39.8,18.49,High,7,Yes,3,6,No,5,Yes,9,3
2021,25-29,Both,15.37,45.38,Low,10,No,9,2,Yes,10,No,4,2
2020,50-59,Female,7.66,36.97,High,9,Yes,4,10,Yes,3,Yes,10,9
2020,70-79,Male,13.45,25.54,Low,10,Yes,4,5,No,2,Yes,1,7
2023,30-39,Both,8.76,47.3,Low,3,No,4,3,No,10,Yes,9,10
2024,50-59,Both,35.27,20.63,High,10,Yes,2,6,No,3,No,4,5
2023,15-19,Both,36.0,27.09,Low,8,Yes,8,4,No,3,No,7,2
2020,60-69,Both,12.38,28.62,High,7,No,8,10,No,7,No,10,1
2023,40-49,Female,13.36,55.96,High,4,Yes,8,5,No,9,No,7,10
2020,50-59,Female,25.47,53.1,Middle,7,No,6,1,Yes,6,No,7,2
2020,30-39,Female,9.6,61.01,Middle,1,Yes,9,2,Yes,5,Yes,7,8
2022,25-29,Male,36.69,57.83,Low,4,Yes,2,5,No,4,No,3,5
2024,40-49,Female,10.73,59.82,Low,2,Yes,3,6,Yes,1,Yes,7,5
2022,20-24,Male,45.06,53.97,Middle,1,No,1,1,No,2,Yes,5,2
2023,80+,Male,12.05,47.01,Low,2,No,6,8,No,8,Yes,10,6
2024,50-59,Female,33.37,15.45,Low,4,No,4,2,No,1,Yes,3,7
2022,30-39,Female,21.8,23.79,Middle,5,Yes,5,2,Yes,7,No,6,9
